iter	Passed	Remaining
0	94	94217
1	185	92607
2	260	86549
3	357	89026
4	658	13098555	776	12856766	916	129976
7	1039	128878	8	1202	132361
9	1297	128498110	1397	125611	11	1510	124357
12	1636	124213	13	1770	124706
14	1896	124563
15	1937	119116116	2175	125811
17	2283	124561
18	2411	124517
19	2528	123914
20	2661	124093
21	2765	122929
22	2888	122693
23	3021	122875
24	3275	127736
25	3341	125170
26	3480	125429
27	3571	123982
28	3769	126212
29	3824	123673
30	3945	123325
31	4031	121966
32	4185	122648
33	4298	122122
34	4400	121331
35	4456	119338
36	4553	118511
37	4734	119862
38	4741	116829
39	4874	116998
40	4974	116345
41	5153	117544
42	5264	117167
43	5319	115588
44	5478	116263
45	5560	115320
46	5737	116335
47	5904	117096
48	6148	119327
49	6252	118802
50	6405	119195
51	6533	119109
52	6634	118536
53	6744	118145
54	7013	120505
55	7050	118849
56	7225	119538
57	7416	120461
58	7544	120336
59	7700	120643
60	7917	121878
61	8060	121940
62	8248	122685
63	8386	122658
64	8499	122257
65	8638	122242
66	8854	123303
67	8965	122878
68	9206	124216
69	9300	123566
70	9423	123306
71	9478	122166
72	9611	122052
73	9664	120934
74	9849	121473
75	9959	121084
76	10007	119959
77	10151	119994
78	10288	119942
79	10463	120329
80	10616	120449
81	10685	119625
82	10816	119506
83	10892	118785
84	10994	118351
85	11064	117593
86	11139	116905
87	11200	116076
88	11258	115245
89	1190	11370	1190	1191	11451	1191	1192	11520	1192	11575	112891
93	11660	112389
94	11716	111615
95	11765	110791
96	11847	110288
97	11941	109907
98	12021	109405
99	12091	108820
100	12168	108312
101	12247	107823
102	12318	107280
103	12398	106816
104	12476	106347
105	12568	105999
106	12643	105518
107	12725	105101
108	12783	104492
109	12838	103872
110	12914	103431
111	13009	103148
112	13097	102808
113	13164	102312
114	13219	101732
115	13288	101267
116	13373	100930
117	13426	100360
118	13538	100233
119	13611	99816
120	13685	99415
121	13737	98867
122	13828	98596
123	13888	98114
124	13941	97591
125	14016	97228
126	14093	96880
127	14173	96556
128	14232	96096
129	14305	95735
130	14357	95243
131	14420	94822
132	14469	94325
133	14537	93948
134	14614	93638
135	14674	93227
136	14729	92784
137	14797	92430
138	14849	91979
139	14922	91667
140	14980	91266
141	15021	90766
142	15069	90310
143	15143	90019
144	15209	89682
145	15285	89409
146	15342	89030
147	15397	88640
148	15453	88260
149	15523	87964
150	15596	87693
151	15663	87385
152	15727	87065
153	15783	86705
154	15836	86336
155	15944	86262
156	16009	85961
157	16075	85670
158	16124	85286
159	16174	84914
160	16231	84587
161	16283	84234
162	16344	83928
163	16407	83640
164	16584	83927
165	16685	83830
166	16743	83515
167	16820	83302
168	16894	83073
169	16956	82787
170	17016	82494
171	17094	82293
172	17150	81987
173	17212	81711
174	17291	81517
175	17373	81337
176	17446	81119
177	17495	80794
178	17554	80516
179	17612	80233
180	17677	79989
181	17736	79714
182	17816	79543
183	17885	79319
184	17952	79089
185	18014	78836
186	18067	78549
187	18122	78275
188	18186	78040
189	18260	77847
190	18315	77577
191	18354	77241
192	18407	76968
193	18472	76747
194	18550	76578
195	18594	76275
196	18640	75982
197	18709	75781
198	18758	75504
199	18808	75232
200	18869	75009
201	18940	74822
202	18988	74549
203	19038	74286
204	19116	74133
205	19168	73882
206	19233	73680
207	19282	73420
208	19348	73228
209	19417	73046
210	19478	72838
211	19544	72645
212	19595	72402
213	19646	72160
214	19702	71935
215	19759	71719
216	19819	71515
217	19875	71297
218	19938	71105
219	20000	70912
220	20052	70683
221	20103	70452
222	20162	70253
223	20215	70031
224	20272	69828
225	20327	69615
226	20383	69411
227	20445	69228
228	20493	68996
229	20540	68766
230	20578	68505
231	20628	68287
232	20692	68115
233	20747	67917
234	20794	67694
235	20848	67492
236	20893	67263
237	20945	67061
238	20989	66831
239	21030	66597
240	21077	66380
241	21118	66146
242	21167	65942
243	21210	65717
244	21261	65520
245	21299	65282
246	21344	65068
247	21398	64886
248	21441	64668
249	21490	64471
250	21538	64271
251	21590	64085
252	21637	63885
253	21675	63662
254	21712	63435
255	21754	63223
256	21794	63010
257	21844	62823
258	21891	62631
259	21930	62417
260	21965	62194
261	22018	62021
262	22056	61809
263	22101	61617
264	22140	61409
265	22181	61208
266	22222	61008
267	22266	60816
268	22298	60595
269	22340	60401
270	22373	60186
271	22409	59978
272	22458	59806
273	22500	59619
274	22532	59404
275	22572	59213
276	22608	59009
277	22645	58812
278	22687	58629
279	22733	58456
280	22781	58292
281	22834	58139
282	22871	57947
283	22912	57765
284	22958	57598
285	22999	57419
286	23045	57252
287	23095	57097
288	23134	56915
289	23177	56743
290	23219	56571
291	23260	56399
292	23299	56220
293	23339	56045
294	23383	55883
295	23423	55709
296	23460	55530
297	23502	55365
298	23536	55181
299	23576	55012
300	23622	54858
301	23671	54710
302	23713	54548
303	23745	54363
304	23783	54195
305	23839	54067
306	23882	53909
307	23933	53773
308	23976	53617
309	24014	53452
310	24048	53278
311	24083	53106
312	24128	52958
313	24169	52803
314	24219	52667
315	24262	52517
316	24304	52365
317	24342	52206
318	24381	52049
319	24413	51879
320	24455	51729
321	24503	51594
322	24544	51444
323	24579	51284
324	24623	51141
325	24658	50980
326	24700	50837
327	24744	50695
328	24785	50549
329	24822	50397
330	24881	50288
331	24942	50185
332	24979	50033
333	25017	49885
334	25066	49759
335	25114	49630
336	25162	49503
337	25206	49369
338	25256	49246
339	25311	49133
340	25361	49013
341	25411	48890
342	25461	48769
343	25517	48661
344	25569	48545
345	25617	48420
346	25666	48301
347	25714	48178
348	25771	48072
349	25820	47952
350	25864	47824
351	25914	47705
352	25961	47583
353	26006	47457
354	26051	47332
355	26110	47232
356	26165	47126
357	26212	47006
358	26267	46901
359	26325	46801
360	26364	46668
361	26429	46580
362	26472	46454
363	26518	46334
364	26570	46226
365	26617	46108
366	26659	45982
367	26712	45875
368	26754	45750
369	26842	45705
370	26894	45596
371	26945	45489
372	26995	45379
373	27049	45275
374	27095	45158
375	27144	45048
376	27185	44924
377	27226	44800
378	27275	44691
379	27319	44573
380	27366	44462
381	27418	44358
382	27467	44249
383	27510	44132
384	27557	44020
385	27594	43893
386	27646	43791
387	27708	43705
388	27754	43594
389	27839	43544
390	27897	43452
391	27948	43349
392	28000	43247
393	28049	43141
394	28089	43023
395	28166	42961
396	28237	42889
397	28304	42812
398	28375	42740
399	28439	42659
400	28501	42575
401	28558	42482
402	28612	42385
403	28676	42304
404	28727	42203
405	28780	42106
406	28844	42026
407	28911	41949
408	28956	41841
409	29009	41745
410	29067	41655
411	29116	41555
412	29167	41455
413	29215	41353
414	29268	41258
415	29327	41171
416	29373	41066
417	29411	40951
418	29487	40887
419	29529	40778
420	29584	40687
421	29637	40593
422	29689	40497
423	29785	40463
424	29839	40370
425	29885	40267
426	29935	40170
427	30013	40111
428	30065	40016
429	30118	39924
430	30162	39819
431	30216	39728
432	30259	39624
433	30310	39529
434	30354	39426
435	30394	39318
436	30435	39210
437	30481	39111
438	30532	39018
439	30590	38933
440	30650	38851
441	30702	38759
442	30740	38650
443	30781	38545
444	30827	38447
445	30863	38337
446	30919	38252
447	30967	38156
448	31019	38066
449	31069	37973
450	31116	37878
451	31161	37780
452	31206	37682
453	31244	37576
454	31299	37490
455	31341	37389
456	31395	37303
457	31441	37208
458	31484	37108
459	31531	37015
460	31571	36913
461	31617	36819
462	31662	36723
463	31713	36634
464	31764	36546
465	31812	36454
466	31865	36369
467	31912	36276
468	31967	36192
469	32028	36117
470	32070	36020
471	32122	35933
472	32171	35844
473	32226	35762
474	32287	35685
475	32341	35603
476	32390	35514
477	32439	35425
478	32482	35330
479	32533	35244
480	32577	35151
481	32621	35057
482	32665	34965
483	32713	34876
484	32752	34778
485	32804	34694
486	32856	34611
487	32890	34508
488	32931	34412
489	32991	34338
490	33045	34256
491	33087	34163
492	33128	34069
493	33176	33982
494	33226	33897
495	33267	33804
496	33310	33713
497	33358	33626
498	33399	33533
499	33452	33452
500	33501	33367
501	33557	33289
502	33602	33201
503	33643	33109
504	33684	33017
505	33723	32923
506	33764	32831
507	33805	32740
508	33855	32658
509	33905	32575
510	33952	32490
511	33992	32399
512	34046	32320
513	34084	32227
514	34131	32142
515	34167	32048
516	34225	31974
517	34261	31880
518	34307	31795
519	34355	31712
520	34394	31622
521	34442	31539
522	34509	31474
523	34561	31395
524	34623	31325
525	34685	31256
526	34733	31174
527	34781	31092
528	34825	31007
529	34860	30914
530	34906	30830
531	34946	30742
532	34992	30659
533	35038	30576
534	35074	30485
535	35131	30412
536	35167	30321
537	35215	30240
538	35252	30151
539	35298	30068
540	35336	29980
541	35373	29891
542	35412	29804
543	35455	29720
544	35498	29636
545	35545	29556
546	35588	29473
547	35635	29392
548	35677	29308
549	35720	29225
550	35772	29150
551	35815	29067
552	35861	28987
553	35899	28900
554	35953	28827
555	36005	28752
556	36057	28677
557	36111	28604
558	36148	28518
559	36195	28439
560	36242	28360
561	36282	28277
562	36326	28196
563	36377	28121
564	36420	28040
565	36453	27952
566	36486	27863
567	36522	27777
568	36701	27800
569	36740	27716
570	36784	27637
571	36823	27552
572	36877	27481
573	36940	27415
574	37017	27360
575	37073	27290
576	37118	27212
577	37175	27141
578	37241	27078
579	37283	26998
580	37331	26922
581	37376	26844
582	37427	26770
583	37473	26693
584	37518	26615
585	37575	26546
586	37623	26471
587	37674	26397
588	37720	26321
589	37786	26258
590	37828	26179
591	37880	26107
592	37922	26027
593	37959	25945
594	38004	25868
595	38045	25789
596	38083	25708
597	38122	25627
598	38167	25551
599	38207	25471
600	38247	25392
601	38288	25313
602	38333	25238
603	38370	25156
604	38416	25081
605	38460	25005
606	38499	24926
607	38547	24853
608	38593	24778
609	38640	24704
610	38689	24632
611	38742	24562
612	38805	24498
613	38851	24424
614	38896	24349
615	38942	24275
616	38993	24204
617	39045	24134
618	39093	24062
619	39129	23982
620	39169	23905
621	39209	23828
622	39253	23753
623	39300	23680
624	39339	23603
625	39378	23526
626	39423	23452
627	39470	23380
628	39515	23307
629	39563	23235
630	39610	23163
631	39656	23090
632	39699	23016
633	39738	22940
634	39781	22866
635	39821	22790
636	39859	22714
637	39898	22638
638	39943	22565
639	39989	22494
640	40041	22425
641	40089	22355
642	40139	22285
643	40184	22213
644	40221	22137
645	40260	22062
646	40299	21986
647	40344	21915
648	40392	21845
649	40431	21770
650	40476	21699
651	40524	21629
652	40561	21554
653	40599	21479
654	40641	21406
655	40697	21341
656	40738	21268
657	40782	21196
658	40819	21121
659	40857	21047
660	40903	20977
661	40943	20904
662	40981	20830
663	41021	20757
664	41064	20686
665	41105	20614
666	41144	20541
667	41185	20469
668	41237	20403
669	41282	20333
670	41320	20260
671	41357	20186
672	41399	20115
673	41443	20045
674	41489	19976
675	41528	19904
676	41565	19831
677	41603	19758
678	41640	19685
679	41678	19613
680	41716	19541
681	41754	19469
682	41786	19394
683	41821	19320
684	41868	19253
685	41905	19181
686	41943	19109
687	41985	19039
688	42033	18972
689	42075	18903
690	42114	18832
691	42155	18763
692	42202	18695
693	42244	18626
694	42293	18560
695	42338	18492
696	42383	18425
697	42420	18353
698	42475	18290
699	42521	18223
700	42565	18155
701	42607	18086
702	42653	18020
703	42698	17952
704	42734	17881
705	42772	17811
706	42804	17739
707	42856	17675
708	42894	17605
709	42932	17535
710	42973	17467
711	43007	17396
712	43045	17326
713	43083	17257
714	43129	17191
715	43175	17125
716	43246	17069
717	43303	17007
718	43341	16938
719	43384	16871
720	43421	16802
721	43469	16737
722	43514	16671
723	43555	16604
724	43599	16537
725	43643	16471
726	43682	16403
727	43727	16337
728	43922	16327
729	43983	16267
730	44045	16208
731	44103	16147
732	44156	16084
733	44216	16024
734	44260	15957
735	44313	15894
736	44372	15834
737	44448	15779
738	44499	15716
739	44547	15651
740	44596	15587
741	44646	15524
742	44687	15457
743	44746	15396
744	44791	15331
745	44838	15266
746	44884	15201
747	44931	15137
748	44972	15070
749	45010	15003
750	45051	14937
751	45096	14872
752	45149	14809
753	45198	14746
754	45239	14680
755	45281	14614
756	45325	14549
757	45369	14484
758	45415	14420
759	45449	14352
760	45491	14287
761	45539	14223
762	45578	14157
763	45621	14092
764	45664	14027
765	45706	13962
766	45752	13898
767	45806	13837
768	45872	13779
769	45914	13714
770	45957	13650
771	46002	13586
772	46052	13523
773	46098	13460
774	46150	13398
775	46193	13334
776	46240	13271
777	46281	13206
778	46316	13139
779	46365	13077
780	46412	13014
781	46462	12952
782	46509	12889
783	46552	12825
784	46603	12763
785	46660	12703
786	46701	12639
787	46743	12575
788	46792	12513
789	46840	12451
790	46884	12387
791	46930	12325
792	46977	12262
793	47018	12198
794	47071	12137
795	47113	12074
796	47169	12014
797	47212	11950
798	47255	11887
799	47305	11826
800	47352	11764
801	47397	11701
802	47443	11639
803	47486	11576
804	47521	11511
805	47575	11451
806	47616	11387
807	47666	11326
808	47710	11264
809	47807	11214
810	47859	11153
811	47916	11094
812	47979	11035
813	48024	10973
814	48078	10913
815	48129	10852
816	48176	10791
817	48218	10728
818	48262	10666
819	48309	10604
820	48358	10543
821	48406	10482
822	48462	10422
823	48525	10364
824	48576	10304
825	48626	10243
826	48672	10181
827	48724	10121
828	48791	10064
829	48837	10002
830	48884	9941
831	48942	9882
832	48995	9822
833	49044	9761
834	49085	9699
835	49126	9637
836	49171	9575
837	49211	9513
838	49250	9450
839	49294	9389
840	49339	9328
841	49383	9266
842	49421	9204
843	49456	9141
844	49497	9079
845	49536	9017
846	49570	8954
847	49604	8891
848	49652	8831
849	49712	8772
850	49752	8711
851	49798	8650
852	49839	8589
853	49881	8527
854	49918	8465
855	49953	8403
856	49988	8341
857	50035	8280
858	50067	8218
859	50099	8155
860	50167	8098
861	50189	8034
862	50213	7971
863	50240	7908
864	50266	7845
865	50292	7782
866	50318	7719
867	50342	7655
868	50372	7593
869	50395	7530
870	50421	7467
871	50447	7405
872	50473	7342
873	50501	7280
874	50529	7218
875	50554	7156
876	50578	7093
877	50604	7031
878	50631	6969
879	50662	6908
880	50686	6846
881	50716	6785
882	50740	6723
883	50764	6661
884	50787	6599
885	50814	6538
886	50838	6476
887	50864	6415
888	50894	6354
889	50923	6293
890	50947	6232
891	50974	6171
892	50999	6110
893	51025	6049
894	51053	5989
895	51080	5929
896	51118	5869
897	51146	5809
898	51175	5749
899	51204	5689
900	51242	5630
901	51266	5569
902	51295	5510
903	51329	5450
904	51355	5390
905	51386	5331
906	51414	5271
907	51440	5212
908	51463	5151
909	51488	5092
910	51517	5033
911	51540	4973
912	51570	4914
913	51595	4854
914	51618	4795
915	51647	4736
916	51671	4676
917	51701	4618
918	51728	4559
919	51752	4500
920	51777	4441
921	51811	4383
922	51843	4324
923	51859	4265
924	51879	4206
925	51898	4147
926	51916	4088
927	51932	4029
928	51950	3970
929	51965	3911
930	51981	3852
931	51998	3793
932	52014	3735
933	52032	3676
934	52048	3618
935	52065	3560
936	52082	3501
937	52098	3443
938	52114	3385
939	52126	3327
940	52138	3269
941	52149	3210
942	52160	3152
943	52170	3094
944	52181	3037
945	52192	2979
946	52202	2921
947	52213	2864
948	52224	2806
949	52235	2749
950	52246	2691
951	52257	2634
952	52269	2577
953	52280	2520
954	52291	2464
955	52303	2407
956	52317	2350
957	52329	2294
958	52340	2237
959	52350	2181
960	52360	2124
961	52372	2068
962	52382	2012
963	52392	1956
964	52403	1900
965	52414	1844
966	52424	1789
967	52434	1733
968	52445	1677
969	52455	1622
970	52466	1566
971	52476	1511
972	52486	1456
973	52497	1401
974	52507	1346
975	52519	1291
976	52531	1236
977	52543	1181
978	52554	1127
979	52565	1072
980	52577	1018
981	52588	963
982	52598	909
983	52608	855
984	52619	801
985	52630	747
986	52641	693
987	52653	639
988	52664	585
989	52675	532
990	52689	478
991	52701	425
992	52712	371
993	52727	318
994	52738	265
995	52759	211
996	52772	158
997	52784	105
998	52797	52
999	52809	0
